epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9181,1.69653,3.97716,2.18502,0.03308,0.37431,0.153,0.16695,0.11467,1.12156,2.12546,1.95473,0.01206,0.00019237,0.00019237,0.00019237
2,46.7031,1.0626,1.87697,1.55906,0.02234,0.28784,0.40339,0.30377,0.20522,0.93898,1.2303,1.4357,0.01722,0.000383564,0.000383564,0.000383564
3,68.4374,0.94935,1.36034,1.25134,0.02257,0.26716,0.46261,0.3619,0.25933,0.78538,1.13253,1.15227,0.01396,0.000569907,0.000569907,0.000569907
4,89.3381,0.92017,1.24202,1.15543,0.0209,0.36193,0.55719,0.44183,0.3273,0.76363,1.04908,1.08588,0.00984,0.000566171,0.000566171,0.000566171
5,111.132,0.85352,1.09784,1.08936,0.01877,0.44137,0.60422,0.51337,0.38236,0.74321,0.95133,1.04439,0.00954,0.000558894,0.000558894,0.000558894
6,132.667,0.78031,0.9766,1.02339,0.01528,0.56249,0.59534,0.60764,0.45525,0.69696,0.83607,1.01956,0.00874,0.000551617,0.000551617,0.000551617
7,153.486,0.77416,0.89405,1.01581,0.01491,0.62898,0.62848,0.65329,0.48588,0.71434,0.79798,1.02615,0.00769,0.000544341,0.000544341,0.000544341
8,174.848,0.76361,0.82721,1.02131,0.01247,0.6204,0.69679,0.69649,0.53082,0.69255,0.7436,1.01918,0.00759,0.000537064,0.000537064,0.000537064
9,195.478,0.75767,0.79208,1.01581,0.01317,0.70926,0.64858,0.72355,0.53828,0.69307,0.71241,1.01045,0.0078,0.000529788,0.000529788,0.000529788
10,216.642,0.72258,0.7505,0.98105,0.01212,0.71308,0.71005,0.75645,0.57897,0.64748,0.65644,0.99512,0.00626,0.000522511,0.000522511,0.000522511
11,238.365,0.72606,0.7123,0.99268,0.01147,0.75226,0.71242,0.79021,0.60449,0.64203,0.61522,0.97157,0.00748,0.000515235,0.000515235,0.000515235
12,259.083,0.73503,0.6967,1.0266,0.01363,0.80409,0.74238,0.81447,0.61309,0.67233,0.5818,0.97905,0.00763,0.000507959,0.000507959,0.000507959
13,280.432,0.7102,0.6551,0.98641,0.01199,0.78695,0.74154,0.81928,0.62088,0.64297,0.56653,0.98564,0.0071,0.000500682,0.000500682,0.000500682
14,301.694,0.70144,0.66322,0.97012,0.01292,0.77468,0.73846,0.83014,0.62522,0.66252,0.59067,0.98364,0.00919,0.000493405,0.000493405,0.000493405
15,322.627,0.68767,0.62768,0.97073,0.01376,0.82869,0.74841,0.84813,0.63397,0.67591,0.55269,0.98895,0.00809,0.000486129,0.000486129,0.000486129
16,344.298,0.68481,0.61686,0.98834,0.01224,0.81977,0.79911,0.88076,0.66731,0.63085,0.52105,0.96675,0.00715,0.000478852,0.000478852,0.000478852
